Type_intervention,Description,Plage_horaire,Latitude,Longitude
Pompiers,Feu de forêt,12h00-18h00,49.188142811212,6.002750866976992
Civil,Difficultés sociales,00:00-03:00,49.145513837848846,6.887458902559523
Police,Agression à l'arme blanche,09h00-12h00,49.30821208471727,6.3611275032764025
Police,Menaces de mort,12h00-18h00,49.20847042308246,6.853142978269406
HeroY,Contre-terrorisme financier,21:00-00:00,49.34258611602992,6.074200664695161
HeroZ,Piratage de systèmes vitaux,21:00-00:00,49.10882482228033,6.762846721531195
Douanes,Contrefaçon,19h00-22h00,49.0891637565888,6.746636933341792
Police,Violences conjugales,21:00-00:00,49.24596265582863,6.864311936602393
HeroY,Extraction de données sensibles,21:00-04:30,49.29127575872935,6.005429212242445
Pompiers,Orage violent,12h00-18h00,49.12754796930063,6.108781038847518
Gendarmerie,Délinquance juvénile,12h00-18h00,49.05353152226539,6.049552680367165
Civil,Problème de voirie,09h00-12h00,49.19140993723622,6.300750904841944
BAC,Proxénétisme,03:00-06:00,49.097953093117056,6.748186783656553
HeroY,Blanchiment international,21:00-00:00,49.293782668420015,6.004490203223408
CRS,Contrôle de foule,09h00-12h00,48.98989044673403,6.679310197016389
Police,Corruption,03:00-06:00,49.00461641150736,6.013815011451015
SAMU,Overdose,19h00-22h00,49.3665001626871,6.3242837924905775
Pompiers,Incendie de véhicule,09h00-12h00,49.25790981676864,6.484847793788333
Police,Agression à main armée,07h00-11h00,49.028191664096354,6.348036216601488
BAC,Interception de suspects armés,03:00-06:00,48.93908388762455,6.123329752919019
Police,Blessures graves volontaires,21:00-00:00,49.05137195248479,6.09064372124982
Civil,Aide aux victimes,03:00-06:00,49.32056577747567,6.108947689100615
HeroX,Assaut terroriste,07h00-11h00,49.16906235781164,6.605457252544146
Civil,Plainte contre administration,09h00-12h00,49.351386817029365,6.060722467977059
Gendarmerie,Recherche en milieu rural,21:00-00:00,49.29561956693267,6.682406214318792
CRS,Rassemblement illégal,21:00-00:00,49.20619687145614,6.716354136824214
Douanes,Contrôle de marchandises dangereuses,03:00-06:00,49.12676899779169,6.63515981832505
Civil,Difficultés sociales,00:00-03:00,49.17817081414439,6.067413665499386
Pompiers,Inondation,09h00-12h00,49.21477793290517,6.663278399818934
Gendarmerie,Trafics en zone rurale,09h00-12h00,49.048984488233415,6.859826476030557
Police,Recherche de personne disparue,12h00-18h00,49.19379299327064,6.309938768535706
BAC,Interception de suspects armés,21:00-00:00,49.26654785780185,6.312288175683544
Police,Cambriolage,21:00-00:00,49.2744525039392,6.337686960914118
Police,Braquage,12h00-18h00,49.09756611990274,6.57974864542518
SAMU,Crise psychiatrique,12h00-18h00,49.12516022514871,6.8747518214216194
Gendarmerie,Délinquance juvénile,00:00-03:00,49.196359231664005,6.770893223237512
SAMU,Polytraumatisme,21:00-04:30,49.29340830519223,6.78937560044838
Gendarmerie,Violences conjugales,07h00-11h00,49.29471088894142,6.3417785494040775
Pompiers,Évacuation,09h00-12h00,49.05037405552259,6.011562525030652
BAC,Surveillance de quartier,19h00-22h00,49.04840873428609,6.706488700632701
SAMU,Electrocution,03:00-06:00,49.26625782281132,6.167122115030391
Police,Délit de fuite,21:00-04:30,49.32878818500215,6.316080322758307
SAMU,Overdose,19h00-22h00,49.37246923647775,6.144515451474783
